Name,,,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
85 Turner St,,,,Abbotsford,-37.7996,144.9984,h,1480000,1,4,12/09/2015,0.04,1,365
25 Bloomburg St,,,,Abbotsford,-37.8079,144.9934,h,1035000,4,145,8/04/2020,1.57,1,1
5 Charles St,,,,Abbotsford,-37.8093,144.9944,h,1465000,3,42,15/03/2020,0.34,10,0
40 Federation La,,,,Abbotsford,-37.7969,144.9969,h,850000,1,149,16/05/2020,1.26,1,329
55a Park St,,,,Abbotsford,-37.8072,144.9941,h,1600000,7,160,19/09/2019,1.42,2,0
129 Charles St,,,,Abbotsford,-37.8041,144.9953,h,941000,2,210,29/03/2020,1.78,2,347
124 Yarra St,,,,Abbotsford,-37.8024,144.9993,h,1876000,2,51,22/06/2020,0.44,6,365
98 Charles St,,,,Abbotsford,-37.806,144.9954,h,1636000,5,178,17/10/2019,1.47,3,0
6/241 Nicholson St,,,,Abbotsford,-37.8008,144.9973,u,300000,2,259,2/08/2020,2.24,1,2
10 Valiant St,,,,Abbotsford,-37.801,144.9989,h,1097000,2,73,14/03/2020,0.66,1,232
411/8 Grosvenor St,,,,Abbotsford,-37.811,145.0067,u,700000,3,70,14/03/2020,0.61,10,0
40 Nicholson St,,,,Abbotsford,-37.8085,144.9964,h,1350000,2,172,23/03/2020,1.48,1,365
123/56 Nicholson St,,,,Abbotsford,-37.8078,144.9965,u,750000,1,0,,,1,0
45 William St,,,,Abbotsford,-37.8084,144.9973,h,1172500,2,1,10/01/2016,0.02,1,365
7/20 Abbotsford St,,,,Abbotsford,-37.8016,144.9988,u,441000,1,131,28/06/2020,1.14,1,291
16 William St,,,,Abbotsford,-37.809,144.9976,h,1310000,2,529,28/06/2020,4.63,2,79
42 Henry St,,,,Abbotsford,-37.8056,144.993,h,1200000,14,67,26/03/2018,1.05,3,339
78 Yarra St,,,,Abbotsford,-37.8021,144.9965,h,1176500,2,108,26/01/2020,0.96,1,338
196 Nicholson St,,,,Abbotsford,-37.8022,144.9975,h,955000,2,146,16/03/2020,1.3,1,364
42 Valiant St,,,,Abbotsford,-37.8011,145.0004,h,890000,3,80,24/03/2020,0.74,10,0
3/72 Charles St,,,,Abbotsford,-37.8073,144.9952,h,1330000,28,10,1/12/2019,0.34,1,0
13/11 Nicholson St,,,,Abbotsford,-37.8093,144.9959,t,900000,1,55,7/10/2017,0.48,1,358
138/56 Nicholson St,,,,Abbotsford,-37.8078,144.9965,u,1090000,2,254,24/03/2020,2.27,1,351
6/219 Nicholson St,,,,Abbotsford,-37.8015,144.9972,u,500000,5,40,17/08/2020,1.8,24,0
52a William St,,,,Abbotsford,-37.8079,144.9977,h,1100000,3,81,29/02/2020,0.75,2,278
49 Park St,,,,Abbotsford,-37.808,144.994,h,1315000,3,14,1/03/2020,0.13,2,179
5/20 Abbotsford St,,,,Abbotsford,-37.8016,144.9988,u,426000,1,10,23/09/2018,0.3,1,0
48 Abbotsford St,,,,Abbotsford,-37.8017,145.0001,h,1447500,2,0,,,1,365
116/56 Nicholson St,,,,Abbotsford,-37.8078,144.9965,u,457000,3,579,19/03/2020,5.24,2,0
159 Park St,,,,Abbotsford,-37.8005,144.9952,h,1135000,1,36,10/07/2020,0.34,2,364
31 Turner St,,,,Abbotsford,-37.7994,144.9965,h,1542000,2,237,4/07/2020,2.17,1,307
166 Gipps St,,,,Abbotsford,-37.805,144.9943,h,1290000,5,32,15/03/2020,0.91,2,29
